,ID,Key,Name,Mascot,Conference,ELO,Record
442,478,LACOLL,Louisiana College,Wildcats,n/a,100.0,0 - 0
440,476,COVENA,Covenant,Scots,n/a,100.0,0 - 0
412,448,CONCAU,Concordia (TX),Tornados,n/a,100.0,0 - 0
425,461,MILE,Miles,Golden Bears,n/a,100.0,0 - 0
413,449,CARV,Carver College,Cougars,n/a,100.0,0 - 0
414,450,CHRIS,Christendom College,Crusaders,n/a,100.0,0 - 0
415,451,WSS,Winston-Salem State,Rams,n/a,100.0,0 - 0
416,452,GLEN,Glenville State,Pioneers,n/a,100.0,0 - 0
417,453,TIFFIN,Tiffin,Dragons,n/a,100.0,0 - 1
418,454,BLOM,Bloomsburg,Huskies,n/a,100.0,0 - 0
419,455,BPARK,Brewton-Parker College,Barons,n/a,100.0,0 - 0
420,456,HIWA,Hiwassee College,Tigers,n/a,100.0,0 - 0
421,457,MOSCT,Missouri Science & Technology,Miners,n/a,100.0,0 - 0
422,458,BENE,Benedictine Mesa,Redhawks,n/a,100.0,0 - 0
423,459,FLCOL,Florida College,Falcons,n/a,100.0,0 - 0
424,460,LIFE,Life Pacific,Warriors,n/a,100.0,0 - 2
426,462,AVC,Averett,Cougars,n/a,100.0,0 - 1
439,475,WAWA,Walla Walla,Wolves,n/a,100.0,0 - 0
427,463,HNAMES,Holy Names,Hawks,n/a,100.0,0 - 0
428,464,MILLIG,Milligan,Buffaloes,n/a,100.0,0 - 1
429,465,NCWESL,North Carolina Wesleyan,Battling Bishops,n/a,100.0,0 - 0
430,466,ROCHEL,College of New Rochelle,Blue Angels,n/a,100.0,0 - 0
431,467,WJU,William Jessup,Warriors,n/a,100.0,0 - 1
432,468,MOBILE,Mobile,Rams,n/a,100.0,0 - 0
433,469,FLMEM,Florida Memorial,Lions,n/a,100.0,0 - 0
434,470,SPHIL,Spring Hill,Badgers,n/a,100.0,0 - 1
435,471,HOWP,Howard Payne,Yellow Jackets,n/a,100.0,0 - 1
436,472,BRESC,Brescia,Bearcats,n/a,100.0,0 - 1
437,473,WILBAP,Williams Baptist,Eagles,n/a,100.0,0 - 0
438,474,FISK,Fisk,Bulldogs,n/a,100.0,0 - 2
590,710,KYWE,Kentucky Wesleyan,Panthers,n/a,100.0,0 - 0
592,712,LINCOL,Lincoln (PA),Lions,n/a,100.0,0 - 0
837,978,MDW,Michigan-Dearborn,Wolves,n/a,100.0,0 - 0
717,846,ENAZ,Eastern Nazarene,Lions,n/a,100.0,0 - 0
749,878,STE,Health Sciences and Pharmacy,Eutectics,n/a,100.0,0 - 1
750,879,WMA,Wheaton College (MA),Lyons,n/a,100.0,0 - 0
751,880,JCSC,New Jersey City,Gothic Knights,n/a,100.0,0 - 0
752,881,PHCH,Philadelphia,Chestnut,n/a,100.0,0 - 0
753,883,PACOR,Pacific (OR),Boxers,n/a,100.0,0 - 0
754,884,MRYV,Maryville (TN),Fighting Scots,n/a,100.0,0 - 0
755,885,MDV,Michigan Dearborn,Wolverines,n/a,100.0,0 - 0
756,886,FLAG,Flagler,Saints,n/a,100.0,0 - 0
757,887,VF,Valley Forge,Patriots,n/a,100.0,0 - 1
758,888,CURR,Curry College,Colonels,n/a,100.0,0 - 1
759,889,MALONE,Malone,Pioneers,n/a,100.0,0 - 0
760,890,CINC,Cincinnati Clermont,Cougars,n/a,100.0,0 - 1
